Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-08-09,4.489220230363073,4.575367458679478,4.412645119159009,4.479648113250732,149908,0.0,0
2019-08-12,4.527507478379331,4.632798477343585,4.508363701878888,4.6040825843811035,15322,0.0,0
2019-08-13,4.47964754961937,4.546650991704355,4.422216223442359,4.489219665527344,16252,0.0,0
2019-08-14,4.42221658493882,4.546651363372803,4.3456414771097975,4.546651363372803,50541,0.0,0
2019-08-15,4.383929082110019,4.393501198912013,4.240350525045667,4.307353973388672,141030,0.0,0
2019-08-16,4.326497952817012,4.355213848141706,4.240350723266602,4.240350723266602,12949,0.0,0
2019-08-19,4.269066530058603,4.2786381906858875,4.2116351970239085,4.249922752380371,70265,0.0,0
2019-08-20,4.249922533049664,4.441360299952227,4.249922533049664,4.412644863128662,17442,0.0,0
2019-08-21,4.383928862958584,4.422216415405273,4.32649753428855,4.422216415405273,8697,0.0,0
2019-08-22,4.4413602774663925,4.508363723754883,4.412644840788209,4.508363723754883,39528,0.0,0
2019-08-23,4.37435713575038,4.403072571431738,4.316925807964044,4.336069583892822,13799,0.0,0
2019-08-26,4.249922534223704,4.364785194396973,4.1733474274415245,4.364785194396973,13506,0.0,0
2019-08-27,4.345641527749345,4.374357421731676,4.307353973388672,4.307353973388672,15352,0.0,0
2019-08-28,4.49879130679226,4.537078857421875,4.489219647346659,4.537078857421875,4665,0.0,0
2019-08-29,4.441360212393902,4.479647765019602,4.249922449265401,4.374357223510742,14910,0.0,0
2019-08-30,4.383928582180493,4.412644472888154,4.383928582180493,4.403072357177734,21323,0.0,0
2019-09-02,4.412644924672014,4.546651363372803,4.412644924672014,4.546651363372803,5611,0.0,0
2019-09-03,4.575367477049916,4.805092811584473,4.565795359899143,4.805092811584473,157920,0.0,0
2019-09-04,4.79552106317041,4.833808618226074,4.757233051691086,4.814664840698242,32986,0.0,0
2019-09-05,4.833808255614613,5.2262558937072745,4.814664479522865,5.226255893707275,23201,0.0,0
2019-09-06,4.91995547885175,4.91995547885175,4.7955211508573665,4.805092811584473,24669,0.0,0
2019-09-09,4.83380840053079,4.977386497311523,4.83380840053079,4.881667613983154,34765,0.0,0
2019-09-10,4.8529524887498505,4.8529524887498505,4.757233142852783,4.757233142852783,28130,0.0,0
2019-09-11,4.65194236484953,4.65194236484953,4.527507586415547,4.546651363372803,65540,0.0,0
2019-09-12,4.584939309001092,4.6232268661866955,4.517935855714442,4.5562238693237305,18412,0.0,0
2019-09-13,4.565794473047358,4.613654136657715,4.527506924728503,4.613654136657715,19888,0.0,0
2019-09-16,4.642369854340082,4.642369854340082,4.479647535795559,4.632798194885254,47694,0.0,0
2019-09-17,4.575366972776955,4.575366972776955,4.498791413281525,4.527507305145264,28521,0.0,0
2019-09-18,4.584938919196457,4.584938919196457,4.498791694641113,4.498791694641113,9533,0.0,0
2019-09-19,4.556223478205593,4.632798586003393,4.498791690933596,4.594511032104492,32857,0.0,0
2019-09-20,4.575366991580571,4.5945107674272005,4.431788444519043,4.431788444519043,95435,0.0,0
2019-09-23,4.527507785965105,4.556223680878462,4.479648113250732,4.479648113250732,9655,0.0,0
2019-09-24,4.594510436802311,4.699800968170166,4.556222887864258,4.699800968170166,57346,0.0,0
2019-09-25,4.69023025558013,4.814665042950058,4.69023025558013,4.747661590576172,24057,0.0,0
2019-09-26,4.718945971951631,4.776377310319904,4.642370854127266,4.766805648803711,21518,0.0,0
2019-09-27,4.654031563057243,4.682878608455901,4.538642005916054,4.625184059143066,16600,0.02272,0
2019-09-30,4.615568645577265,4.615568645577265,4.5482581071050125,4.5674896240234375,4011,0.0,0
2019-10-01,4.61556860491468,4.711726188659668,4.596337088165683,4.711726188659668,17085,0.0,0
2019-10-02,4.711725714287756,4.711725714287756,4.615568140223819,4.663646697998047,6237,0.0,0
2019-10-03,4.663646889732105,4.711725907998462,4.663646889732105,4.6924943923950195,4484,0.0,0
2019-10-04,4.7213416854359815,4.8078837394714355,4.702110168818717,4.8078837394714355,13772,0.0,0
2019-10-07,4.807883543067277,4.8367310460725035,4.759804524230402,4.827115058898926,16441,0.0,0
2019-10-08,4.7405728193083085,4.798267364501954,4.7405728193083085,4.798267364501953,10859,0.0,0
2019-10-09,4.807883264864652,4.807883264864652,4.7598042488098145,4.7598042488098145,16782,0.0,0
